SMILES,MolecularWeight,LogP,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA
COc1cccc(OC)c1C(C)NS(=O)(=O)N,260.083077992,0.5579000000000001,5,4,2,90.64999999999999
NNCCc1ccccc1,136.100048384,0.6923999999999992,3,2,2,38.05
CCC(C(=O)Nc1ccc(cc1)S(=O)(=O)N)C(C)(C)C,298.135113564,2.3448,4,3,2,89.26
CCC(NC(C)(C)C)C(=O)c1ccc(Cl)c(Cl)c1,287.084369588,4.342800000000003,4,2,1,29.1
C[C@H](N)Cc1ccccc1,135.104799416,1.5763,2,1,1,26.02
CC(C)OC(=O)c1ccc(O)cc1,180.078644244,1.9574,2,3,1,46.53
CCOC(=O)c1ccc(O)cc1O,182.0579088,1.2744999999999997,2,4,2,66.76
CCCS(=O)(=O)N[C@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)NCc1ccc(cc1)C(=N)N,499.22869666400004,1.5688700000000029,15,6,5,154.24
CC(C(=O)NN)S(=O)(=O)c1cc(Cl)c(C)cc1S(=O)(=O)N,355.006340228,-0.5520799999999995,4,6,3,149.42
CN(C)CCCNS(=O)(=O)c1ccc(C)cc1,256.12454888,1.2250199999999996,6,3,1,49.410000000000004
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NCC(=O)O,342.12494280399994,1.3117,9,4,2,103.78000000000002
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N,413.16205658399997,0.9458000000000009,12,5,3,146.87000000000003
Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,278.163042564,2.7795199999999998,8,3,3,78.43
NS(=O)(=O)Nc1ccc(cc1)S(=O)(=O)N,251.003447768,-1.0506000000000002,3,4,3,132.35
OC(=S)c1ccccc1,138.013935812,1.9201000000000001,1,1,1,20.23
CCOC(=O)\C=C\c1ccc(O)cc1,192.078644244,1.9685000000000001,3,3,1,46.53
COc1ccc(cc1OC)C(=O)O,182.0579088,1.4020000000000001,3,3,1,55.760000000000005
OC(=O)c1cccc(O)c1,138.031694052,1.0903999999999998,1,2,2,57.53
CNc1ccc(cc1)S(=O)(=O)N,186.04629856,0.37570000000000003,2,3,2,72.19
CCCCOc1ccc(cc1)S(=O)(=O)NCC(=O)NO,302.093642676,0.6492,8,5,3,104.73
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CC(C)C)C(=O)N,397.203527472,2.1271,11,4,2,109.57000000000001
CCCCCCCOc1ccc(CC[C@](C)(N)C(=O)O)cc1,307.214743788,3.7704000000000013,11,3,2,72.55
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,510.46182204026996,5.452500000000005,21,3,0,27.69
COc1cccc(CCNS(=O)(=O)N)c1OC,260.083077992,0.0394000000000006,6,4,2,90.65
NS(=O)(=O)ONC(=O)OCc1ccccc1,246.03104242,0.04789999999999961,4,5,2,107.72000000000001
OP(=O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,317.928359948,2.0711000000000013,4,3,4,115.06
C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,302.163042564,2.579300000000001,6,4,2,69.64
COC(=O)c1c(O)cccc1O,168.042258736,0.8843999999999996,1,4,2,66.76
CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,223.14410426809,1.9437,2,2,0,29.540000000000003
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NC,298.135113564,1.8569,7,3,1,66.48
CC[C@H](C)[C@H](NC(=O)NNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](C(C)C)C(=O)OC,804.4857736280001,1.0656000000000088,22,10,9,286.56
CCCCCCCCc1ccc(CCC(N)(CO)COP(=O)(O)O)cc1,387.2174598179999,3.3213000000000017,14,4,4,113.01000000000002
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N,303.1582915320001,1.96728,7,4,2,91.22
COc1ccccc1OC,138.06807956,1.7038,2,2,0,18.46
Nc1ccc(cc1F)S(=O)(=O)N,190.021226684,0.05530000000000024,1,3,2,86.18
NS(=O)(=O)c1ccc(NCC=C)cc1,212.061948624,0.9319000000000003,4,3,2,72.19
ONC(=O)CCCCCCC(=O)Nc1ccccc1,264.1473925,2.4711,8,3,3,78.43
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NS(=O)(=O)c1ccc(C)cc1)\C=C\S(=O)(=O)C,601.249157336,2.357720000000003,14,8,3,164.81
CC(=O)Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)cc1,537.055794472,3.9007000000000005,9,4,4,107.53000000000002
CCCCCCCCCc1ccc(CNCCCP(=O)(O)O)cc1,355.2276305779999,4.6371000000000056,14,2,3,69.56
NS(=O)(=O)c1ccc(CCC(=O)O)cc1,229.040878832,0.3511999999999999,4,3,2,97.46000000000001
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CC=C)C(=O)NO,389.231456472,1.8198999999999994,11,4,4,107.53000000000002
COc1cc(CC(C)N)c(OC)cc1C,209.141578848,1.90192,4,3,1,44.480000000000004
CCB(CC)OC(=O)[C@@H](N)CCCCNC(=S)Nc1cccc(c1)S(=O)(=O)N,428.17232780800003,1.6925,11,6,4,136.54
Oc1ccc(CCCCCS(=O)(=O)F)cc1,246.07259356,2.404300000000001,6,3,1,54.37
CC(C)C[C@H](N[C@@H](c1ccccc1)C(F)(F)F)C(=O)NCC#N,327.15584692000004,2.9340800000000007,7,3,2,64.92
C\C(=C/C(=O)NCCCCCC(=O)NO)\C=C\c1ccccc1,316.178692628,2.828100000000001,9,3,3,78.43
CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCC(=O)NCC=C)c1,417.324294236,6.661800000000007,17,3,2,58.56
NNc1ccc(cc1)S(=O)(=O)N,187.041547528,-0.3803999999999998,2,4,3,98.21
Cc1ccc(OS(=O)(=O)N)c(OS(=O)(=O)N)c1,281.99802804,-0.8403799999999995,4,6,2,138.78
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1)\C=C\S(=O)(=O)C,581.2770863359999,2.997200000000003,14,8,3,156.97000000000003
COc1ccc(cc1)S(=O)(=O)N(CC(=O)NO)OC(C)C,318.088557296,0.5312999999999999,7,6,2,105.17000000000002
COc1ccc(cc1)B(O)O,152.064474548,-0.6250000000000001,2,3,2,49.69
CCCCCCCCCCCCNCc1ccc(OC)c(O)c1,321.26677936,5.411300000000006,14,3,2,41.489999999999995
CCCCC\C=C/C\C=C/CCCCCCCC(=O)NCc1ccccc1,369.303164868,7.116300000000007,16,1,1,29.1
